"CODEMPRESA","PROCESSO","DATA","DESCRICAO","DOCUMENTO","INTERNET","ID","DTMAX","IMPMEMO","IMPRESSAO"
2,"10017921220188260011","15/03/2019","PROT PET CONTRARAZÕES DE APELAÇÃO","","True",95,"","","True"
2,"10517707920188260100","24/11/2018","PROTOCOLAMOS PROCURAÇÃO E REQUERENDO QUE JUNTEO AR OU EXPEÇA-SE OUTRA DE EMEDIATO.","","True",96,"","","True"
2,"10517707920188260100","29/11/2018","FIZ RECLAMAÇÃO NA OUVIDORIA 2018/00191975.","","True",97,"","","True"
2,"10517707920188260100","10/01/2019","O CARTORIO CERTIFICOU QUE OS ARS NÃO VOLTARAM. SALA DO JUIZ 18/12","","True",98,"","","True"
2,"10517707920188260100","17/01/2019","EXPEÇA-SE NOVAS CARTAS COM URGENCA.
CARTA EXPEDIDA EM 16/01/2019","","True",99,"","","True"
2,"10517707920188260100","29/01/2019","JUNTADO AR NESTA DATA","","True",100,"","","True"
2,"10517707920188260100","20/02/2019","JUNTARAM CONTESTAÇÃO","","True",101,"","","True"
2,"10517707920188260100","01/03/2019","PROT REPLICA","","True",102,"","","True"
2,"10517707920188260100","03/04/2019","DO JUNTE A MIDIA EM 5 DIAS","","True",103,"","","True"
2,"10517707920188260100","04/04/2019","PROT PET JUNTANDO MIDIA ","","True",104,"","","True"
2,"10517707920188260100","08/04/2019","DO MANIFESTE-SE A RE SOBRE A MIDIA EM 5 DIAS","","True",105,"","","True"
2,"10517707920188260100","01/07/2019","DO SENTENÇA DEU EM PARTE O DANO MATERIAL DE R$ 12.595,67 E CUSTAS DE 50% PARA CADA PARTE. CONDENANDO O REU A PAGAR 10% DE HONORARIOS PARA O AUTOR E O REU TEM QUE PAGAR 10% DO EXCEDENTE.","","True",106,"","","True"
2,"10517707920188260100","03/07/2019","PROT PET APELAÇÃO","","True",107,"","","True"
2,"10517707920188260100","12/07/2019","DO AS CONTRA RAZÕES DE APELAÇÃO","","True",108,"","","True"
2,"10517707920188260100","05/08/2019","JUNTADA APELAÇÃ DA PARTE CONTRARIA","","True",109,"","","True"
2,"10517707920188260100","07/08/2019","PROT CONTRA RAZOES DE APELAÇÃO","","True",110,"","","True"
3,"002.02.020.782-6","30/06/2005","protocalamos a petição de execução de acordo feito pelo escritorio Dr.Carla,para que pague R$14.402,02,em 24 horas,sob pena de penhora.Juntamos Deligência de oficial de justiça.","","True",111,"","","True"
3,"002.02.020.782-6","01/07/2005","Protocolamos Petição Requerendo a execução do acordo para que pague R$14.402,02,em 24 horas,sob pena de penhora.Juntamos Deligencia de Oficial de Justiça.","","True",112,"","","True"
3,"002.02.020.782-6","20/07/2005","27/02/2004,ao arquivo (2723 pacote)","","True",113,"","","True"
3,"002.02.020.782-6","25/07/2005","Protocolamos Petição pedindo desarquivamento dos autos e juntando guia","","True",114,"","","True"
896,"10462749620238260002","16/06/2023","PROCESSO DISTRIBUIDO - APT 208","","True",11768,"","","True"
320,"10178024820238260564","16/06/2023","DO CITE-SE PARA PAGAR EM 3 DIAS - HON 10%","","True",11772,"","","True"
914,"10624886220238260100","15/06/2023","BLOQUEIO NEGATIVO
PROT PET REQ PENHORA DO IMOVEL","","True",11773,"","","True"
153,"10198259820238260100","15/06/2023","PROT PET REITERANDO AS CARTAS DE CITAÇÕES","","True",11774,"","","True"
332,"10111388620208260020","15/06/2023","INITMADO PERITO 14/06/2023","","True",11777,"","","True"
914,"10624886220238260100","19/06/2023","DO JUNTE CUSTAS PARA UTILIZAR O SISTEMA DA ARISP, BEM COMO INTIMAÇÃO VIA POSTAL DA EXECUTADA.
PROT PET JUNTANDO AS CUSTAS SOLICITADAS PELO JUIZ.","","True",11786,"","","True"
332,"10053886420248260020","19/12/2024","DO MANIFESTE-SE O EXEQUENTE (BLOQUEOU R$ 823,00 ARIOVALDO E r$ 2044,47 DA PRISCILA)
PROT PET REQ INTIMAÇÃO DA PENHORA.","","True",15516,"","","True"
288,"10326006120178260002","10/06/2025","DO INFORME O EXEQUENTE O VALOR AINDA DEVIDO
PROT PET REQ JUNTADA DO CALCULO DO VALOR AINDA DEVIDO.","","True",16561,"","","True"
953,"10058539020258260100","12/06/2025","DAT DE CARTA DE CITAÇÃO","","True",16579,"","","True"
965,"10052028920258260704","03/12/2025","DO INDEFIRO A PENHORA DO IMOVEL POIS NÃO ESTA EM NOME DA SUELI.
PROT PET JUNTANDO OS DOCUMENTOS DO INVENTARIO E COMPROVANDO QUE A MESMA É HERDEIRA.","","True",17835,"","","True"
